systemd,systemd,systemd-devel
systemd-sysv,systemd-sysv, 
td-agent,td-agent, 
telegraf,telegraf, 
tree,tree, 
ubuntu-advantage-tools, ,Ubuntu-specific
ubuntu-fan, ,Ubuntu-specific
udev,libgudev, 
unixodbc,unixodbc,unixodbc-devel
unzip,unzip, 
update-notifier-common, , 
vnetinjection, , 
xfonts-encodings, , 
xfonts-terminus, , 
xfonts-utils, , 
zip,zip, 
zookeeper-2-6-99-201-39240152, , 
zookeeper-2-6-99-201-39240152-server, , 
zulu-8-azure-jre-headless, , 
